word,TR,diff,forgot,NoT,TP,AC0,AC1,AC2
erfahren,2022-11-07 14:32:22.012781,1,0,,,0,,
erfahren,2022-11-07 14:22:07.626840,2,0,,,1,,
erfahren,2022-11-07 14:28:42.642049,1,1,,,0,,
geschichten,2022-11-07 14:32:18.465600,1,0,,,0,,
geschichten,2022-11-07 14:22:15.501090,4,1,,,0,,
geschichten,2022-11-07 14:28:40.584373,1,1,,,0,,
irgendetwas,2022-11-07 14:32:28.372669,1,0,,,0,,
irgendetwas,2022-11-07 14:22:01.154300,4,1,,,0,,
irgendetwas,2022-11-07 14:28:37.084563,1,1,,,0,,
irgendwelche,2022-11-07 14:32:20.338988,1,0,,,0,,
irgendwelche,2022-11-07 14:22:25.467152,4,1,,,0,,
irgendwelche,2022-11-07 14:28:35.795244,1,1,,,0,,
schaffen,2022-11-07 14:32:23.544508,1,0,,,0,,
schaffen,2022-11-07 14:22:41.302806,5,1,,,0,,
schaffen,2022-11-07 14:28:44.381153,1,1,,,0,,
vergessen,2022-11-07 14:32:24.903079,1,0,,,0,,
vergessen,2022-11-07 14:21:56.279999,5,1,,,0,,
vergessen,2022-11-07 14:28:38.472909,1,1,,,0,,
wahrscheinlich,2022-11-07 14:32:26.520085,1,0,,,0,,
wahrscheinlich,2022-11-07 14:22:34.906391,3,1,,,0,,
wahrscheinlich,2022-11-07 14:28:34.297231,1,1,,,0,,
